event_id,threshold_abs_z,entry_time,side,entry_z,entry_abs_z,settled,settle_time,exit_time,exit_reason,bars_to_settle,bars_to_exit,approx_trading_days_to_exit,entry_nifty_close,entry_sensex_close,exit_nifty_close,exit_sensex_close,max_loss_abs_rupees,max_loss_rupees,max_loss_time,max_profit_rupees,max_profit_time,max_abs_z_during_wait,max_abs_z_time,directional_worst_z_during_wait,directional_worst_z_time,gross_exit_pnl_rupees,cost_rupees,net_exit_pnl_rupees,nifty_points_at_exit,sensex_points_at_exit,nifty_qty,sensex_qty,entry_date,entry_trading_date,exit_z,exit_abs_z,calendar_minutes_to_exit
31,5.0,2022-12-01 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.705071124146124,6.705071124146124,True,2022-12-01 10:41:00,2022-12-01 10:41:00,SETTLED,86,86,0.22933333333333333,18857.7,63472.06,18827.85,63337.09,1890.7500000000255,-1890.7500000000255,2022-12-01 09:37:00,3795.749999999407,2022-12-01 10:41:00,6.705071124146124,2022-12-01 09:15:00,6.705071124146124,2022-12-01 09:15:00,3795.749999999407,0.0,3795.749999999407,-29.850000000002183,-134.97000000000116,325,100,2022-12-01,2022-12-01,0.40020365870794467,0.40020365870794467,86.0
32,5.0,2022-12-15 09:20:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.3718931455018595,5.3718931455018595,True,2022-12-15 13:36:00,2022-12-15 13:36:00,SETTLED,256,256,0.6826666666666666,18636.05,62562.65,18525.35,62201.18,3010.2500000001746,-3010.2500000001746,2022-12-15 13:12:00,2922.4999999997635,2022-12-15 09:22:00,5.3718931455018595,2022-12-15 09:20:00,-5.3718931455018595,2022-12-15 09:20:00,-169.49999999988358,0.0,-169.49999999988358,-110.70000000000073,-361.47000000000116,325,100,2022-12-15,2022-12-15,-0.4953951784226064,0.4953951784226064,256.0
33,5.0,2022-12-29 09:16:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-6.192944792822689,6.192944792822689,True,2022-12-29 10:16:00,2022-12-29 10:16:00,SETTLED,60,60,0.16,18040.55,60605.67,18006.85,60541.24,279.00000000036016,-279.00000000036016,2022-12-29 09:23:00,4509.500000000207,2022-12-29 10:16:00,6.192944792822689,2022-12-29 09:16:00,-6.192944792822689,2022-12-29 09:16:00,4509.500000000207,0.0,4509.500000000207,-33.70000000000073,-64.43000000000029,325,100,2022-12-29,2022-12-29,-0.37706290196175757,0.37706290196175757,60.0
34,5.0,2023-01-23 09:16:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.087257503148964,5.087257503148964,True,2023-01-23 11:29:00,2023-01-23 11:29:00,SETTLED,133,133,0.3546666666666667,18106.6,60908.81,18134.7,61012.38,4270.500000000084,-4270.500000000084,2023-01-23 10:42:00,2244.0000000004147,2023-01-23 09:23:00,5.087257503148964,2023-01-23 09:16:00,5.087257503148964,2023-01-23 09:16:00,-1224.4999999992615,0.0,-1224.4999999992615,28.100000000002183,103.56999999999971,325,100,2023-01-23,2023-01-23,0.4987053083859694,0.4987053083859694,133.0
35,5.0,2023-01-27 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.241783802425401,5.241783802425401,True,2023-01-27 11:43:00,2023-01-27 11:43:00,SETTLED,148,148,0.39466666666666667,17820.4,59933.22,17657.35,59398.1,6116.249999999491,-6116.249999999491,2023-01-27 09:32:00,0.0,2023-01-27 09:15:00,7.560837128069069,2023-01-27 09:17:00,-7.560837128069069,2023-01-27 09:17:00,-520.7499999993161,0.0,-520.7499999993161,-163.0500000000029,-535.1200000000026,325,100,2023-01-27,2023-01-27,-0.4233688539103253,0.4233688539103253,148.0
36,5.0,2023-02-01 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.2379602210216465,5.2379602210216465,True,2023-02-02 12:23:00,2023-02-02 12:23:00,SETTLED,563,563,1.5013333333333334,17787.3,59999.19,17585.5,59738.35,42940.24999999965,-42940.24999999965,2023-02-02 09:31:00,2979.500000000735,2023-02-01 09:36:00,5.2379602210216465,2023-02-01 09:15:00,5.2379602210216465,2023-02-01 09:15:00,-39500.99999999939,0.0,-39500.99999999939,-201.79999999999927,-260.8400000000038,325,100,2023-02-01,2023-02-01,0.4690012903635112,0.4690012903635112,1628.0
37,5.0,2023-02-28 09:19:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.38674860212301,5.38674860212301,True,2023-02-28 10:02:00,2023-02-28 10:02:00,SETTLED,43,43,0.11466666666666667,17412.8,59388.3,17393.3,59300.75,1953.249999999207,-1953.249999999207,2023-02-28 09:35:00,2417.500000000291,2023-02-28 10:02:00,5.38674860212301,2023-02-28 09:19:00,5.38674860212301,2023-02-28 09:19:00,2417.500000000291,0.0,2417.500000000291,-19.5,-87.55000000000291,325,100,2023-02-28,2023-02-28,0.4808518782165486,0.4808518782165486,43.0
38,5.0,2023-03-06 09:16:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.741921054765991,5.741921054765991,True,2023-03-06 11:12:00,2023-03-06 11:12:00,SETTLED,116,116,0.30933333333333335,17719.5,60248.49,17765.25,60371.72,1606.25,-1606.25,2023-03-06 10:28:00,3711.499999999887,2023-03-06 10:05:00,6.522917370755225,2023-03-06 09:17:00,6.522917370755225,2023-03-06 09:17:00,2545.74999999968,0.0,2545.74999999968,45.75,123.2300000000032,325,100,2023-03-06,2023-03-06,0.24111964735401695,0.24111964735401695,116.0
39,5.0,2023-03-10 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.982670076363193,5.982670076363193,True,2023-03-10 12:49:00,2023-03-10 12:49:00,SETTLED,214,214,0.5706666666666667,17414.8,59176.59,17403.45,59109.62,4796.249999999418,-4796.249999999418,2023-03-10 12:42:00,1361.250000000382,2023-03-10 09:16:00,5.982670076363193,2023-03-10 09:15:00,-5.982670076363193,2023-03-10 09:15:00,-3008.2499999998618,0.0,-3008.2499999998618,-11.349999999998545,-66.96999999999389,325,100,2023-03-10,2023-03-10,-0.37937530026672106,0.37937530026672106,214.0
40,5.0,2023-03-23 09:16:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.305499105667131,5.305499105667131,True,2023-03-23 10:18:00,2023-03-23 10:18:00,SETTLED,62,62,0.16533333333333333,17074.6,57943.86,17151.05,58209.0,2354.250000000684,-2354.250000000684,2023-03-23 09:31:00,1667.7499999997053,2023-03-23 10:18:00,5.305499105667131,2023-03-23 09:16:00,-5.305499105667131,2023-03-23 09:16:00,1667.7499999997053,0.0,1667.7499999997053,76.45000000000073,265.1399999999994,325,100,2023-03-23,2023-03-23,-0.2996958235075467,0.2996958235075467,62.0
