watch_event_id,threshold_abs_z,watch_time,watch_date,watch_trading_date,watch_z,watch_abs_z,watch_side_if_entered,entered,skip_reason,entry_time,entry_z,entry_abs_z,entry_delay_bars,extreme_time_before_entry,extreme_z_before_entry,extreme_abs_z_before_entry,scan_end_time,reversal_confirm_bars_required,reversal_delta_z_required,enable_entry_time_filter,entry_start_time,last_entry_time
46,3.0,2022-08-04 11:47:00,2022-08-04,2022-08-04,-3.429662493613577,3.429662493613577,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-04 11:49:00,-2.8617803755995492,2.8617803755995492,2.0,2022-08-04 11:47:00,-3.429662493613577,3.429662493613577,2022-08-04 11:49:00,2,0.25,True,09:30,15:15
47,3.0,2022-08-08 09:52:00,2022-08-08,2022-08-08,3.111368751150635,3.111368751150635,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-08 09:55:00,1.4627261002686975,1.4627261002686975,3.0,2022-08-08 09:53:00,3.2468479153440035,3.2468479153440035,2022-08-08 09:55:00,2,0.25,True,09:30,15:15
48,3.0,2022-08-10 11:21:00,2022-08-10,2022-08-10,-3.6843797232082873,3.6843797232082873,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-10 11:23:00,-2.4489556603808826,2.4489556603808826,2.0,2022-08-10 11:21:00,-3.6843797232082873,3.6843797232082873,2022-08-10 11:23:00,2,0.25,True,09:30,15:15
49,3.0,2022-08-12 15:20:00,2022-08-12,2022-08-12,3.6177363864134158,3.6177363864134158,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-08-12 15:20:00,3.6177363864134158,3.6177363864134158,2022-08-12 15:22:00,2,0.25,True,09:30,15:15
50,3.0,2022-08-16 09:15:00,2022-08-16,2022-08-16,6.81619103000099,6.81619103000099,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-08-16 09:15:00,6.81619103000099,6.81619103000099,2022-08-16 09:17:00,2,0.25,True,09:30,15:15
51,3.0,2022-08-18 15:12:00,2022-08-18,2022-08-18,3.437395701540906,3.437395701540906,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-18 15:14:00,1.8652932456231066,1.8652932456231066,2.0,2022-08-18 15:12:00,3.437395701540906,3.437395701540906,2022-08-18 15:14:00,2,0.25,True,09:30,15:15
52,3.0,2022-08-19 09:39:00,2022-08-19,2022-08-19,3.25272558399912,3.25272558399912,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-19 09:41:00,2.4398617555531,2.4398617555531,2.0,2022-08-19 09:39:00,3.25272558399912,3.25272558399912,2022-08-19 09:41:00,2,0.25,True,09:30,15:15
53,3.0,2022-08-19 12:28:00,2022-08-19,2022-08-19,-3.031125111405822,3.031125111405822,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-19 12:37:00,-2.4488969330404373,2.4488969330404373,9.0,2022-08-19 12:32:00,-3.359892037961111,3.359892037961111,2022-08-19 12:37:00,2,0.25,True,09:30,15:15
54,3.0,2022-08-23 09:16:00,2022-08-23,2022-08-23,-3.719637841866293,3.719637841866293,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-08-23 09:20:00,-5.6277799909460215,5.6277799909460215,2022-08-23 09:22:00,2,0.25,True,09:30,15:15
55,3.0,2022-08-23 09:30:00,2022-08-23,2022-08-23,-3.258451600265503,3.258451600265503,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-23 09:32:00,-2.6100521782525985,2.6100521782525985,2.0,2022-08-23 09:30:00,-3.258451600265503,3.258451600265503,2022-08-23 09:32:00,2,0.25,True,09:30,15:15
56,3.0,2022-08-25 09:19:00,2022-08-25,2022-08-25,3.81002480798419,3.81002480798419,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-25 09:30:00,2.126218986606373,2.126218986606373,11.0,2022-08-25 09:19:00,3.81002480798419,3.81002480798419,2022-08-25 09:30:00,2,0.25,True,09:30,15:15
57,3.0,2022-08-25 14:42:00,2022-08-25,2022-08-25,-4.163089094700827,4.163089094700827,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-25 14:49:00,-2.6143022472213473,2.6143022472213473,7.0,2022-08-25 14:42:00,-4.163089094700827,4.163089094700827,2022-08-25 14:49:00,2,0.25,True,09:30,15:15
58,3.0,2022-08-29 09:15:00,2022-08-29,2022-08-29,-6.325024619312259,6.325024619312259,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-08-29 09:16:00,-6.82473769116517,6.82473769116517,2022-08-29 09:18:00,2,0.25,True,09:30,15:15
59,3.0,2022-08-29 09:43:00,2022-08-29,2022-08-29,-3.085690929187213,3.085690929187213,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-08-29 09:47:00,-2.651607695018466,2.651607695018466,4.0,2022-08-29 09:43:00,-3.085690929187213,3.085690929187213,2022-08-29 09:47:00,2,0.25,True,09:30,15:15
